Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy
134,Sugar,Peking Duk,51558,https://open.spotify.com/track/1GLM0M9DA62xZsyp2UNq7i,2019,1,2ePtv8MlBO9nuuXABqAfEX,0.748,0.734,0.368
135,Thinking out Loud,Ed Sheeran,51509,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,2019,1,34gCuhDGsG4bRPIf9bb02f,0.781,0.445,0.591
136,come out and play,Billie Eilish,51393,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4,2019,1,7wC5eZcFS1Q1BsQ35DU6H4,0.64,0.321,0.177
137,No Brainer,DJ Khaled,51184,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8,2019,1,5WvAo7DNuPRmk4APhdPzi8,0.552,0.76,0.639
138,Don't Stop Me Now - Remastered 2011,Queen,51124,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019,1,7hQJA50XrCWABAu5v6QZ4i,0.563,0.865,0.601
139,Kiss and Make Up,Dua Lipa,50785,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019,1,7jr3iPu4O4bTCVwLMbdU2i,0.678,0.729,0.643
140,Too Good At Goodbyes,Sam Smith,50710,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2019,1,3VlbOrM6nYPprVvzBZllE5,0.681,0.372,0.476
141,Lucky You (feat. Joyner Lucas),Eminem,50402,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,2019,1,60SdxE8apGAxMiRrpbmLY0,0.876,0.786,0.575
142,Natural,Imagine Dragons,50153,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019,1,2FY7b99s15jUprqC0M5NCT,0.704,0.611,0.22
143,Closer,The Chainsmokers,49952,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2019,1,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,0.661
144,Let Me Down Slowly,Alec Benjamin,49357,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019,1,2qxmye6gAegTMjLKEBoR3d,0.652,0.557,0.483
