Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
32,Aí Eu Bebo - Ao Vivo,Maiara & Maraisa,1536938,https://open.spotify.com/track/2Ou6UYuUbNyqwXxRDSeFRf,2020,4,6lK3nCiigk34SGqEjpQoqO,0.827,0.683,0.85
33,Combatchy (feat. MC Rebecca),Anitta,1524629,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw,2020,4,2bPtwnrpFNEe8N7Q85kLHw,0.826,0.73,0.605
34,Tudo Aconteceu,MC Du Black,1501559,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo,2020,4,5coul7biT05YZ4hpkwHECF,0.579,0.346,0.741
35,Áudio - Ao Vivo em Brasília,Diego & Victor Hugo,1484182,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg,2020,4,2PqPSf3gtTED79rWGwVtYg,0.605,0.812,0.451
36,Despedida - Ao Vivo,Wesley Safadão,1476754,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg,2020,4,5LpLYzpV0HWKI2DlPmNywg,0.428,0.806,0.637
37,Viva Voz - Ao Vivo,Lauana Prado,1427037,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj,2020,4,7t1Zd6hCxCEUHJOzRX99p8,0.743,0.849,0.883
38,Toosie Slide,Drake,1420120,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,2020,4,127QTOFJsJQp5LbJbu3A1y,0.834,0.454,0.837
39,SICKO MODE,Travis Scott,1414211,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2020,4,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,0.446
40,Tudo Ok,Thiaguinho MT,1402951,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS,2020,4,4HUZBG98TYbxSR9V1V2DWS,0.814,0.755,0.963
41,Serenata - Ao Vivo,Marília Mendonça,1376208,https://open.spotify.com/track/5fY9bVl1Wj4PIM3wnduWop,2020,4,5fY9bVl1Wj4PIM3wnduWop,0.711,0.711,0.743
42,goosebumps,Travis Scott,1366580,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2020,4,6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,0.43
43,Tijolão - Ao Vivo,Jorge & Mateus,1360372,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7,2020,4,6QwFUcPc5nhsqZuhXUYtV7,0.637,0.877,0.691
44,Lençol Dobrado,João Gustavo e Murilo,1357785,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY,2020,4,72xB2J9ZeBl0Rzxq2XmzdY,0.707,0.664,0.674
45,Quem Traiu Levou - Ao Vivo,Gusttavo Lima,1348071,https://open.spotify.com/track/17Ryox5vWKp92IDW87C5PI,2020,4,1owErGXMkNVCgCmCjI1vRL,0.584,0.959,0.827
46,Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo,Yasmin Santos,1337697,https://open.spotify.com/track/3ZROq16fQ1o2dWEGkHPHkJ,2020,4,4pnlRYoaaGu24SuC3et5Pv,0.716,0.828,0.806
47,Carreira Solo - Ao Vivo,Gusttavo Lima,1316717,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN,2020,4,1MmS7UIy3J1BTxfGCRvVqN,0.805,0.932,0.916
48,The Box,Roddy Ricch,1311556,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020,4,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,0.642
49,Surtada - Remix Brega Funk,Dadá Boladão,1286290,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r,2020,4,5F8ffc8KWKNawllr5WsW0r,0.832,0.55,0.881
50,Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix,Maverick Sabre,1267500,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX,2020,4,5PNvgiKSwMdjBsDsgFCFLX,0.881,0.661,0.965
51,Ainda Tô Aí - Ao Vivo,Eduardo Costa,1243632,https://open.spotify.com/track/0uaR51nHWtVrVPOFPeGyDq,2020,4,0uaR51nHWtVrVPOFPeGyDq,0.684,0.717,0.774
52,Textão - Ao Vivo,Zé Neto & Cristiano,1189799,https://open.spotify.com/track/2uhBCMHwS3SATOHIgM2KPF,2020,4,2uhBCMHwS3SATOHIgM2KPF,0.643,0.84,0.364
53,Quarta Cadeira - Ao Vivo,Matheus & Kauan,1188055,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn,2020,4,25YdFDuFmp9r6CsPA3M50P,0.564,0.82,0.61
54,Relógio Parado (Ao Vivo),Diego & Arnaldo,1180123,https://open.spotify.com/track/5n8Y78Pl5q8lqS7sJP61qw,2020,4,5n8Y78Pl5q8lqS7sJP61qw,0.741,0.943,0.725
55,Amor de Que,Pabllo Vittar,1164014,https://open.spotify.com/track/7vpGKEUPrA4UEsS4o4W1tP,2020,4,7vpGKEUPrA4UEsS4o4W1tP,0.737,0.819,0.904
56,Ferida Curada,Zé Neto & Cristiano,1103183,https://open.spotify.com/track/1U3tv41tFRgOfbytpuYQrR,2020,4,1U3tv41tFRgOfbytpuYQrR,0.49,0.845,0.548
57,Eterna Sacanagem,MC JottaPê,1078848,https://open.spotify.com/track/1AfNdxHdE4OLcnQUyC6j3i,2020,4,1AfNdxHdE4OLcnQUyC6j3i,0.558,0.675,0.769
